gid,animal,time,geom,label
1130,767,2006-11-26 00:00:49,0101000020110F000074BC5DF757C232414837FE70350F5641,2
1131,767,2006-11-26 04:01:50,0101000020110F0000187C9AFA46C232412B6EBBB97A0F5641,2
1132,767,2006-11-26 12:01:51,0101000020110F0000C3BA12447EC63241197FEE2F11105641,2
1134,767,2006-11-27 00:01:50,0101000020110F00006D0A3B1E72C43241CDCDF50D970F5641,2
1135,767,2006-11-27 04:00:54,0101000020110F000003BD68E2E7C532410409C20A9B0F5641,2
1136,767,2006-11-27 08:02:17,0101000020110F000006D671E8E1C63241B334E2AA1B105641,2
1137,767,2006-11-27 12:01:45,0101000020110F00004F7DBD750FC73241FBC97B080E105641,2
1138,767,2006-11-27 16:01:52,0101000020110F0000BD0B6B3EE3C63241BC6240EC0E105641,2
1139,767,2006-11-27 20:00:54,0101000020110F0000010B89FD80C4324151CD3AF89C0F5641,2
1044,767,2006-11-07 16:01:55,0101000020110F000020BF8E2401C63241F11EF395F90F5641,2
1142,767,2006-11-28 08:02:40,0101000020110F0000FB74C00A9BC632413F4FA8CA1D105641,2
1143,767,2006-11-28 12:02:44,0101000020110F0000BDA68BE9A2C63241B0FBD67509105641,2
1144,767,2006-11-28 20:00:54,0101000020110F0000F00B967A3FC4324191C3568C910F5641,2
1145,767,2006-11-29 00:00:57,0101000020110F00006BBFEF25B9C23241216943CE370F5641,2
1146,767,2006-11-29 04:00:53,0101000020110F00008C3024DA26C232411C2D9E8D7A0F5641,2
1147,767,2006-11-29 12:01:18,0101000020110F0000F4328A0D8FC63241B44A3A4DF30F5641,2
1148,767,2006-11-29 16:01:24,0101000020110F0000BC1EF17791C63241CCE781FFFF0F5641,2
1149,767,2006-11-29 20:00:54,0101000020110F00007C05715EE0C432414CC64E8D660F5641,2
1150,767,2006-11-30 00:00:53,0101000020110F00006AC6BB9D2AC33241D6F4A8C9430F5641,2
1151,767,2006-11-30 04:00:42,0101000020110F0000C08BA5749FC232418107C61D510F5641,2
1152,767,2006-11-30 12:03:04,0101000020110F000091429B7A6DC632414928435518105641,2
1185,767,2006-12-07 00:00:53,0101000020110F00005E4C12ACF4C332418DB19701FF0E5641,2
1186,767,2006-12-07 04:01:23,0101000020110F0000CA61419704C43241F48302214D0F5641,2
1187,767,2006-12-07 20:01:43,0101000020110F0000EF0C0919AAC23241130F87DE7E0F5641,2
1140,767,2006-11-28 00:01:24,0101000020110F0000197B697DC9C232410C85BC45390F5641,2
1141,767,2006-11-28 04:01:17,0101000020110F000074BC5DF757C23241FE19B548480F5641,2
1103,767,2006-11-20 00:01:23,0101000020110F00004E328B7E90C232418E57012D550F5641,2
1104,767,2006-11-20 04:01:41,0101000020110F0000B2960A2F25C33241404710E3490F5641,2
1105,767,2006-11-20 12:01:52,0101000020110F00001F74BF5FF3C63241A9E2A1BC09105641,2
1106,767,2006-11-20 16:03:03,0101000020110F000098C262605AC63241079046F903105641,2
1107,767,2006-11-20 20:00:54,0101000020110F00001E17B46969C4324118339385940F5641,2
1108,767,2006-11-21 00:01:55,0101000020110F0000D4697A44D5C2324160C07BA1540F5641,2
1109,767,2006-11-21 04:00:49,0101000020110F0000F61B377294C23241F575EAC4530F5641,2
1110,767,2006-11-21 20:00:54,0101000020110F000082929F40ADC53241E2F1469C490F5641,2
1111,767,2006-11-22 00:02:29,0101000020110F0000D636C5B3ABC332410B87B5AC630F5641,2
1113,767,2006-11-22 12:01:55,0101000020110F000009FC230CA9C7324154A88FB503105641,2
